row-number,field,issue-type,value
9,end-date,date,2016-05
18,start-date,date,2016-05
140,end-date,date,2014-05
178,end-date,date,2010-02
182,end-date,date,2010-12
183,end-date,date,2007-03
185,end-date,date,2015-01
189,end-date,date,2006-12
191,end-date,date,2006-12
197,end-date,date,1996-05
221,end-date,date,2013-02
222,end-date,date,2015-01
237,end-date,date,2010-11
239,end-date,date,2012-03
251,end-date,date,2010-10
252,end-date,date,2009-10
273,end-date,date,2010-06
279,end-date,date,2012-12
290,end-date,date,2013-03
311,end-date,date,2010-04
363,end-date,date,2010-12
388,end-date,date,2007-04
430,end-date,date,2005-04
465,end-date,date,2007-04
513,end-date,date,2008-07
534,end-date,date,2000-12
538,end-date,date,2005-04
548,end-date,date,2008-12
553,end-date,date,2009-06
569,end-date,date,2012-12
648,end-date,date,2016-04
652,end-date,date,2015-07
655,end-date,date,2015-10
711,end-date,date,2016-01
833,end-date,date,2013-09
846,end-date,date,2015-03
